dataset_id,display_name,images,valid_bbox,median_bbox_per_image,mean_bbox_per_image,image_cv_median,abnormal_image_rate_pct,p97_candidate_rate_pct,p99_critical_rate_pct,raw_minor_cv_pct,radial_minor_cv_pct,radial_depth_minor_cv_pct,radial_correction_effect_pct,depth_correction_effect_pct,percentile_context_counts,domain_shift_notes
nestler_yolo,NESTLER Poultry Behaviour (converted YOLO),480,4043,9.0,8.4229,50.1476,100.0,3.02,1.01,57.499,56.0624,51.7244,1.4366,4.338,"{""dataset_split"": 4043}",Converted from video tracks_bbox to YOLO bbox. Sparse/medium density; no age or weight ground truth.
broiler_healthy_sick,Roboflow Broiler Healthy and Sick,491,491,1.0,1.0,0.0,100.0,0.0,0.0,13.8723,13.5003,11.4759,0.3719,2.0244,"{""dataset_split"": 491}","Roboflow segmentation converted to bbox. Two classes healthy/sick; very sparse, usually one object per image. Use as limited-use robustness case, not density case."
broiler_instance_seg,Roboflow Broiler Instance Segmentation (bbox converted),200,10570,53.0,52.85,22.9616,93.0,3.78,1.89,25.4209,24.8545,23.4892,0.5665,1.3652,"{""image"": 10570}",Broiler-specific Roboflow segmentation converted to bbox. Dense enough for image-level relative anomaly.
chicken_count,Roboflow Chicken Count,178,3646,18.0,20.4831,22.8203,89.33,3.73,2.58,78.8746,79.8579,78.204,-0.9834,1.6539,"{""dataset_split"": 1153, ""image"": 2493}",General chicken counting dataset. Mixed resolutions; useful domain-shift/counting case.
chicken_detection_fum,Roboflow FUM Chicken Detection,326,29355,88.5,90.046,34.8218,97.55,3.52,1.48,37.7964,37.1588,36.7325,0.6376,0.4263,"{""image"": 29355}",Dense chicken detection dataset. Many resolutions; useful high-density generalization case.
