dataset_id,display_name,total_images,total_bboxes,dense_threshold,dense_images,dense_image_rate_pct,dense_bboxes,dense_bbox_rate_pct,sparse_bboxes,all_p97_candidate_rate_pct,all_p99_critical_rate_pct,dense_p97_candidate_rate_pct,dense_p99_critical_rate_pct,sparse_p97_candidate_rate_pct,sparse_p99_critical_rate_pct,median_bbox_per_image_all,median_bbox_per_image_dense,median_image_cv_all,median_image_cv_dense,distinct_resolutions,top_resolution_rate_pct,top_resolutions,density_class,resolution_class,recommended_use,notes
nestler_yolo,NESTLER Poultry Behaviour (converted YOLO),480,4043,20,0,0.0,0,0.0,4043,3.02,1.01,0.0,0.0,3.02,1.01,9.0,0.0,50.1476,0.0,1,100.0,1920x1080:4043,sparse_or_mixed,uniform,limited_use_sparse_only,Converted from video tracks_bbox to YOLO bbox. Sparse/medium density; no age or weight ground truth.
broiler_healthy_sick,Roboflow Broiler Healthy and Sick,491,491,20,0,0.0,0,0.0,491,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,100.0,416x416:491,sparse_or_mixed,uniform,limited_use_sparse_only,"Roboflow segmentation converted to bbox. Two classes healthy/sick; very sparse, usually one object per image. Use as limited-use robustness case, not density case."
broiler_instance_seg,Roboflow Broiler Instance Segmentation (bbox converted),200,10570,20,200,100.0,10570,100.0,0,3.78,1.89,3.78,1.89,0.0,0.0,53.0,53.0,22.9616,22.9616,1,100.0,640x640:10570,dense,uniform,strong_generalization_case,Broiler-specific Roboflow segmentation converted to bbox. Dense enough for image-level relative anomaly.
chicken_count,Roboflow Chicken Count,178,3646,20,81,45.51,2493,68.38,1153,3.73,2.58,4.01,3.25,3.12,1.13,18.0,28.0,22.8203,23.4537,57,21.37,1280x720:779; 1600x1200:416; 1024x768:219; 2048x1244:192; 1280x960:168,sparse_or_mixed,mixed_resolution,domain_shift_or_supporting_case,General chicken counting dataset. Mixed resolutions; useful domain-shift/counting case.
chicken_detection_fum,Roboflow FUM Chicken Detection,326,29355,20,326,100.0,29355,100.0,0,3.52,1.48,3.52,1.48,0.0,0.0,88.5,88.5,34.8218,34.8218,51,15.99,1920x1080:4695; 1900x1068:1041; 1770x994:1026; 1672x940:1020; 1910x1074:997,dense,mixed_resolution,strong_but_domain_shift_case,Dense chicken detection dataset. Many resolutions; useful high-density generalization case.
