model,group_key,house,week,count,cobb_weight_g,mean_estimated_weight_g,median_estimated_weight_g,std_estimated_weight_g,cv_pct,mean_cobb_diff_pct,anomaly_count,critical_count,anomaly_rate_pct
radial_depth_median,Prototype_W6,Prototype,6,1614,3278.0,3218.76,3272.98,654.24,20.33,-1.81,907,422,56.2
radial_depth_mean,Commercial_W1,Commercial,1,76495,202.0,200.76,198.97,44.71,22.27,-0.61,45001,23393,58.83
radial_depth_mean,Commercial_W2,Commercial,2,93519,570.0,567.43,570.68,111.73,19.69,-0.45,53123,25368,56.8
radial_depth_mean,Commercial_W3,Commercial,3,51125,1116.0,1111.02,1122.99,227.3,20.46,-0.45,28812,14108,56.36
radial_depth_mean,Commercial_W4,Commercial,4,43491,1783.0,1772.4,1791.02,412.57,23.28,-0.59,27752,15561,63.81
radial_depth_mean,Commercial_W5,Commercial,5,1778,2521.0,2513.87,2525.67,410.13,16.31,-0.28,858,331,48.26
radial_depth_mean,Commercial_W6,Commercial,6,26480,3278.0,3261.11,3303.11,709.59,21.76,-0.52,16107,8456,60.83
radial_depth_mean,Prototype_W1,Prototype,1,10456,202.0,201.09,198.37,37.37,18.58,-0.45,5933,2705,56.74
radial_depth_mean,Prototype_W2,Prototype,2,3870,570.0,567.96,568.14,97.28,17.13,-0.36,2015,851,52.07
radial_depth_mean,Prototype_W3,Prototype,3,4090,1116.0,1111.86,1117.78,196.94,17.71,-0.37,2217,930,54.21
radial_depth_mean,Prototype_W4,Prototype,4,6548,1783.0,1775.83,1798.51,332.32,18.71,-0.4,3455,1547,52.76
radial_depth_mean,Prototype_W5,Prototype,5,1961,2521.0,2510.16,2553.75,485.11,19.33,-0.43,1047,515,53.39
radial_depth_mean,Prototype_W6,Prototype,6,1614,3278.0,3262.15,3317.16,663.43,20.34,-0.48,924,442,57.25
